img.idx,img.anno_task_id,img.timestamp,img.timestamp_lock,img.state,img.sim_class,img.frame_n,img.video_path,img.img_path,img.result_id,img.iteration,img.user_id,img.anno_time,img.lbl.idx,img.lbl.name,img.lbl.external_id,img.annotator,img.is_junk,anno.idx,anno.anno_task_id,anno.timestamp,anno.timestamp_lock,anno.state,anno.track_id,anno.dtype,anno.sim_class,anno.iteration,anno.user_id,anno.img_anno_id,anno.annotator,anno.confidence,anno.anno_time,anno.lbl.idx,anno.lbl.name,anno.lbl.external_id,anno.data
4,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,1,,,data/media/fish_test/20130921-Brijuni-Trstike2-GO035425_CUTTED_000480.jpg,8,0,1,72.986,[],[],[],LOST Admin,,4,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,,point,,0,1,4,LOST Admin,,0.87964,[36],"[""fish""]","[""""]","{""x"": 0.4104065574474978, ""y"": 0.7157546663629418}"
4,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,1,,,data/media/fish_test/20130921-Brijuni-Trstike2-GO035425_CUTTED_000480.jpg,8,0,1,72.986,[],[],[],LOST Admin,,5,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,,point,,0,1,4,LOST Admin,,0.10671,[36],"[""fish""]","[""""]","{""x"": 0.3732299315328535, ""y"": 0.7201474734532254}"
4,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,1,,,data/media/fish_test/20130921-Brijuni-Trstike2-GO035425_CUTTED_000480.jpg,8,0,1,72.986,[],[],[],LOST Admin,,6,5,2020-12-28 18:48:22.835843,2020-12-28 18:48:18.431914,4,,point,,0,1,4,LOST Admin,,0.13964,[36],"[""fish""]","[""""]","{""x"": 0.31582856477348936, ""y"": 0.7238599258260529}"
5,5,2020-12-28 18:48:24.320032,2020-12-28 18:48:23.214397,4,1,,,data/media/fish_test/GP010015_000282.jpg,8,0,1,49.3653,[],[],[],LOST Admin,,7,5,2020-12-28 18:48:24.320032,2020-12-28 18:48:23.214397,4,,point,,0,1,5,LOST Admin,,0.12875,[36],"[""fish""]","[""""]","{""x"": 0.7624220599966176, ""y"": 0.4997823242628509}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,8,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.101315,[36],"[""fish""]","[""""]","{""x"": 0.021757322175732216, ""y"": 0.4300790330079033}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,9,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.101325,[36],"[""fish""]","[""""]","{""x"": 0.15313807531380752, ""y"": 0.4479311947931195}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,10,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.099195,[36],"[""fish""]","[""""]","{""x"": 0.0895397489539749, ""y"": 0.5446304044630405}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,11,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.10695,[36],"[""fish""]","[""""]","{""x"": 0.12217573221757322, ""y"": 0.5223152022315202}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,12,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.09001,[36],"[""fish""]","[""""]","{""x"": 0.05774058577405858, ""y"": 0.6234774523477452}"
6,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,1,,,data/media/fish_test/GO024498_CUTTED_1_000130.jpg,8,0,1,79.6588,[],[],[],LOST Admin,,13,5,2020-12-28 18:48:25.868003,2020-12-28 18:48:24.563023,4,,point,,0,1,6,LOST Admin,,0.116305,[36],"[""fish""]","[""""]","{""x"": 0.2778242677824268, ""y"": 0.6234774523477452}"
